"set_num","set_name","year","num_parts","color_name","rgb","color_rank"
"9678-1","Twin-pod Cloud Car & Bespin",2012,78,"Orange","FE8A18",1
"9679-1","AT-ST & Endor",2012,65,"Light Bluish Gray","A0A5A9",1
"CELEBV-1","Fan Celebration V - CubeDude - The Bounty Hunter Edition",2010,497,"Dark Bluish Gray","6C6E68",1
"celebvi-1","Boba Fett’s Slave I - Mini - Star Wars Celebration VI Exclusive",2012,81,"Light Bluish Gray","A0A5A9",1
"comcon001-1","Clone Wars Pack - San Diego Comic-Con 2008 Exclusive",2008,12,"Dark Bluish Gray","6C6E68",1
"comcon004-1","Collectible Display Set 1 - San Diego Comic-Con 2009 Exclusive",2009,5,"Trans-Purple","A5A5CB",1
"comcon005-1","Collectible Display Set 2 - San Diego Comic-Con 2009 Exclusive",2009,12,"White","FFFFFF",1
"comcon006-1","Collectible Display Set 4 - San Diego Comic-Con 2009 Exclusive",2009,30,"White","FFFFFF",1
"comcon007-1","Collectible Display Set 5 - San Diego Comic-Con 2009 Exclusive",2009,17,"Black","05131D",1
"comcon008-1","Collectible Display Set 3 - San Diego Comic-Con 2009 Exclusive",2009,16,"White","FFFFFF",1
"comcon009-1","Collectible Display Set 6 - San Diego Comic-Con 2009 Exclusive",2009,5,"Trans-Light Blue","AEEFEC",1
"comcon011-1","LEGO Star Wars Holo-Brick Archives San Diego Comic-Con 2009 Exclusive",2009,3,"White","FFFFFF",1
"comcon024-1","Luke Skywalker's Landspeeder - Mini - New York Comic-Con 2012 Exclusive",2012,110,"Tan","E4CD9E",1
"comcon039-1","The Ghost Starship",2014,127,"Light Bluish Gray","A0A5A9",1
"sw117promo-1","Darth Vader Polybag - 56. International Toy Fair Nuernberg (N├╝rnberg)",2005,2,"Black","05131D",1
"sw218promo-1","Darth Vader 10 Year Anniversary Promotional Fig polybag",2009,2,"Metallic Silver","A5A9B4",1
"SW911508-1","Mini Slave 1",2015,20,"Dark Bluish Gray","6C6E68",1
"SW911509-1","Imperial Shooter",2015,20,"Light Bluish Gray","A0A5A9",1
